# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
ba yue 	八月	c=1 d=1 t=42041
ba zhi chi 	吧智齒	c=1 d=1 t=14412
ba zhua yu 	八爪魚	c=2 d=1.99501 t=54596
ba zi 	把子	c=0 d=0.1 t=60645
bai 	白	c=12 d=1.23813 t=62481
bai bai 	拜拜	c=2 d=1.16041 t=29360
bai bai 	白白	c=1 d=1 t=31019
bai cai 	白菜	c=1 d=1 t=44547
bai chi 	白癡	c=1 d=1 t=1366
bai du 	百度	c=13 d=1 t=57820
bai du wang pan 	百度網盤	c=1 d=1 t=36283
bai du yun 	百度雲	c=1 d=1 t=36699
bai fang 	拜訪	c=1 d=1 t=5008
bai fang 	擺放	c=1 d=1 t=5011
bai fen 	白粉	c=1 d=1 t=44553
bai hua 	白話	c=1 d=1 t=6913
bai hua 	百花	c=1 d=1 t=6912
bai jia 	敗家	c=2 d=1 t=36940
bai kai 	掰開	c=0 d=0.1 t=32441
bai kai le 	掰開了	c=1 d=1 t=32442
bai kuai qian 	白塊錢	c=1 d=1 t=54976
bai lao hui 	百老匯	c=1 d=1 t=8924
bai ming dan 	白名單	c=1 d=1 t=57141
bai se 	白色	c=5 d=1.09231 t=60846
bai se de 	白色的	c=1 d=1 t=60831
bai se yi fu 	白色衣服	c=1 d=1 t=38905
bai si 	白絲	c=1 d=1 t=60445
bai tiao 	白條	c=1 d=1 t=58967
bai tuo 	拜託	c=2 d=1 t=57137
bai yan 	白眼	c=1 d=1 t=59786
bai yan se 	白顏色	c=1 d=1 t=48870
bai yao 	白藥	c=1 d=1 t=48297
bai ye 	百葉	c=1 d=1 t=43036
bai zi wan 	百子灣	c=1 d=1 t=24837
ban 	半	c=7 d=1.75201 t=61915
ban 	拌	c=1 d=1 t=48470
ban 	搬	c=0 d=0.1 t=46722
ban 	板	c=3 d=1.06344 t=49500
ban 	版	c=12 d=1.90993 t=57835
ban 	班	c=7 d=1 t=48084
ban 	辦	c=15 d=1.00811 t=55946
ban ben 	版本	c=44 d=1.00011 t=61490
ban ben guan li gong ju 	版本管理工具	c=1 d=1 t=607
ban ben hao 	版本號	c=1 d=1 t=52846
ban che 	班車	c=1 d=1 t=29202
ban de 	辦得	c=1 d=1 t=10773
ban fa 	辦法	c=16 d=1.00723 t=59321
ban ge 	半個	c=2 d=1 t=60579
ban gong 	辦公	c=15 d=1.98511 t=57756
ban gong di dian 	辦公地點	c=1 d=1 t=39816
ban gong shi 	辦公室	c=7 d=1.9802 t=50745
ban gong shi wai 	辦公室歪	c=1 d=1 t=34407
ban guo lai 	搬過來	c=1 d=1 t=46723
ban hao 	辦好	c=0 d=0.1 t=12600
ban hao le 	辦好了	c=1 d=1 t=12601
ban hui er 	半會兒	c=1 d=1 t=58141
ban hui qu 	搬回去	c=1 d=1 t=42495
ban jing 	半徑	c=2 d=1.9802 t=16652
ban ka 	辦卡	c=1 d=1 t=2042
ban le 	半了	c=1 d=1 t=2792
ban li 	板栗	c=2 d=1.83527 t=56955
ban li 	辦理	c=1 d=1 t=55959
ban lu 	半路	c=2 d=1.96079 t=25572
ban nian 	半年	c=2 d=0.1 t=34464
ban nian duo 	半年多	c=1 d=1 t=34465
ban quan 	版權	c=1 d=1 t=35662
ban shi 	版式	c=1 d=1.08737 t=34744
